//mob_db.txtへオーバーライド
//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
20189,VH_GOLDEN_BUG,幻影の黄金蟲,64,645600,0,22170,11242,1,685,843,159,81,71,77,80,62,127,76,10,12,2,4,43,171,100,768,768,480,985,2000,984,1500,969,1000,10016,500,714,300,2246,250,1524,150,0,0,0,0,4128,1,11085,10000,12590,500,2610,2000,701,1000
20653,EP17_2_PITAYA_G,pitaya_g,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21328,MD_T_GOLDEN_BUG,黄金蟲,64,645600,0,22170,11242,1,685,843,159,81,71,77,80,62,127,76,10,12,2,4,43,171,100,768,768,480,985,2000,984,1500,969,1000,10016,500,714,300,5159,250,1539,150,25918,500,0,0,4128,1,11085,10000,12590,500,2610,2000,701,1000

//バルムント邸 庭園 (ba_maison.gat)
20630,JT_EP17_2_BETA_BASIC_NG,故障したベータ,165,522340,0,626808,94021,2,1885,648,349,81,104,112,68,67,154,48,10,12,1,0,40,5765,150,747,1632,576,7317,5044,998,3000,7094,300,6832,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20640,JT_EP17_2_OMEGA_CLEANER,自動お掃除オメガ,165,365934,0,439121,65868,2,1138,563,424,73,70,68,98,65,136,61,10,12,0,0,40,5765,200,747,1632,576,998,5044,7094,3000,999,300,7512,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20679,JT_EP17_2_GUARDIAN_PARTS,ガーディアンの部品,175,20,0,0,0,2,1,1,1,308,1,1,1,1,1,1,10,12,2,0,60,97,2000,747,1632,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20683,JT_EP17_2_BOOKWORM,ブックワーム,165,1001056,0,951003,475502,2,3128,1821,210,82,103,89,23,91,172,7,10,12,1,4,40,5797,200,747,1632,576,7326,5044,938,3000,7316,300,1013,800,943,1,0,0,0,0,0,0,0,0,300104,0,0,0,0,0,0,0,0,0
20684,JT_EP17_2_ROAMING_SPLBOOK,徘徊する魔導書,165,1027396,0,1027396,976026,2,2138,3123,258,84,110,89,38,97,179,66,10,12,1,0,60,6069,130,747,1632,576,1097,5044,6561,3000,6560,300,1006,800,15038,1,2718,5,7019,1,0,0,0,0,300105,1,0,0,0,0,0,0,0,0

//大浴場メディタティオ
20633,JT_EP17_2_BETA_CLEANER_A,故障した清掃型βⅠ型,220,8002199,0,39407916,29555937,2,11032,5433,1086,90,182,182,173,156,247,102,10,12,1,0,40,1973,100,747,1632,576,998,5044,999,3000,7507,300,7512,800,0,0,0,0,0,0,0,0,0,0,300101,1,0,0,0,0,0,0,0,0
20634,JT_EP17_2_BETA_CLEANER_B,故障した清掃型βⅠⅠ型,220,8219899,0,40660910,30495682,2,10529,6213,1038,91,142,163,142,182,263,102,10,12,1,0,40,1973,100,747,1632,576,998,5044,999,3000,7507,300,7512,800,0,0,0,0,0,0,0,0,0,0,300101,1,0,0,0,0,0,0,0,0
20643,JT_EP17_2_PHEN,熱湯フェン,218,13844009,0,39584025,29688019,2,8321,6638,532,88,201,138,142,145,248,78,10,12,1,5,81,1973,150,2544,1134,1154,720,5044,1023,3000,963,500,951,500,6096,500,0,0,0,0,0,0,0,0,300118,1,0,0,0,0,0,0,0,0
