//2025/04/22 アップデート
//ID,Name,Jname,Composition_Type
4001,card,ポリンカード,0
4002,card,ファブルカード,1
4003,card,プパカード,0
4004,card,ドロップスカード,1
4005,card,サンタポリンカード,1
4006,card,ルナティックカード,1
4007,card,ペコペコの卵カード,1
4008,card,ピッキカード,0
4009,card,チョンチョンカード,0
4010,card,ウィローカード,0
4011,card,すごいピッキカード,0
4012,card,盗蟲の卵カード,0
4013,card,アンドレの卵カード,0
4014,card,ロッダフロッグカード,0
4015,card,コンドルカード,0
4016,card,盗蟲カード,0
4017,card,サベージベベカード,1
4018,card,アンドレの幼虫カード,1
4019,card,ホーネットカード,1
4020,card,ファミリアーカード,1
4021,card,ロッカーカード,0
4022,card,スポアカード,0
4023,card,子デザートウルフカード,0
4024,card,プランクトンカード,1
4025,card,スケルトンカード,1
4026,card,雌盗蟲カード,1
4027,card,ククレカード,0
4028,card,タロウカード,0
4029,card,ウルフカード,1
4030,card,マンドラゴラカード,1
4031,card,ペコペコカード,0
4032,card,アンバーナイトカード,0
4033,card,ポポリンカード,0
4034,card,ワームテールカード,0
4035,card,ヒドラカード,1
4036,card,ムカーカード,0
4037,card,スネイクカード,1
4038,card,ゾンビカード,0
4039,card,スタイナーカード,0
4040,card,クリーミーカード,0
4041,card,コーコーカード,0
4042,card,スチールチョンチョンカード,0
4043,card,アンドレカード,1
4044,card,スモーキーカード,0
4045,card,ホルンカード,0
4046,card,マーティンカード,0
4047,card,ゴーストリングカード,0
4048,card,ポイズンスポアカード,0
4049,card,バドンカード,1
4050,card,雄盗蟲カード,0
4051,card,ヨーヨーカード,0
4052,card,エルダーウィローカード,0
4053,card,ビタタカード,0
4054,card,エンジェリングカード,0
4055,card,マリナカード,1
4056,card,ダスティネスカード,0
4057,card,メタルラカード,1
4058,card,タラフロッグカード,0
4059,card,兵隊アンドレカード,0
4060,card,ゴブリンカード,1
4061,card,カナトウスカード,0
4062,card,アナコンダクカード,1
4063,card,キャラメルカード,1
4064,card,ゼロムカード,0
4065,card,カホカード,1
4066,card,オークウォリアーカード,0
4067,card,メガロドンカード,0
4068,card,スコーピオンカード,1
4069,card,ドレインリアーカード,1
4070,card,エギラカード,0
