実装済み	区分	//ID	Name	Jname	Type	Price	Sell	Weight	ATK	DEF	Range	Slot	Job	Gender	Loc	wLV	eLV	resorce	View	Refine	{UseScript}	{EquipScript}	{UnEquipScript}			ID	Upper	Zone	Dropable	Sellable	Storageable	GuildStorageable	Cartable	Delay	Cooldown	Buyingable	Nonconsume	DropEffect	"ID,Upper,Zone,Dropable,Sellable,Storageable,GuildStorageable,Cartable,Delay,Cooldown,Buyingable,Nonconsume,DropEffect"	//	条件詳細			
		9103	pet	ウィローの卵	4	20		0													"{},{},{}"	走紗失硝		"9103,pet,ウィローの卵,4,20,,0,,,,,,,,,,,,{},{},{}"																	条件なし			
		9130	pet	混沌のバフォメット.Jrの卵	4	20		0													"{},{},{}"	章紗失硝		"9130,pet,混沌のバフォメット.Jrの卵,4,20,,0,,,,,,,,,,,,{},{},{}"																	条件なし			
		9137	pet	バフォメットの卵	4	20		0													"{},{},{}"	Baphomet_Egg		"9137,pet,バフォメットの卵,4,20,,0,,,,,,,,,,,,{},{},{}"																	条件なし			
		23257	pet	古木の光る露	2	1000		0					2074075135	2							"{},{},{}"	Dew_Of_Old_Tree		"23257,pet,古木の光る露,2,1000,,0,,,,,2074075135,2,,,,,,{},{},{}"																	条件なし			
		31465	cos	[衣装] コマドリの卵のミニハット	4		10	0	0:0	0:0		0	2074075135	2	1024			Egg_Minihat	1722	0	"{},{},{}"			"31465,cos,[衣装] コマドリの卵のミニハット,4,,10,0,0:0,0:0,,0,2074075135,2,1024,,,1722,0,{},{},{}"		31465	0	0	1	0	0	1	1	0	0	0	0	0	"31465,0,0,1,0,0,1,1,0,0,0,0,0"	//[衣装] コマドリの卵のミニハット	NPC売却・倉庫への移動のみ			
		15953	cos	[衣装] 串焼き屋台	4		10	0	0:0	0:0		0	2074075135	2	2048		1	C_Somtam	2298	0	"{},{},{}"			"15953,cos,[衣装] 串焼き屋台,4,,10,0,0:0,0:0,,0,2074075135,2,2048,,1,2298,0,{},{},{}"																	条件なし			
		15925	cos	[衣装] シロップリン水風船	4		10	0	0:0	0:0		0	2074075135	2	1024		1	茸櫛乞切	649	0	"{},{},{}"			"15925,cos,[衣装] シロップリン水風船,4,,10,0,0:0,0:0,,0,2074075135,2,1024,,1,649,0,{},{},{}"																	条件なし			
		31501	cos	[衣装] 噴出花火	4		10	0	0:0	0:0		0	2074075135	2	1024		1	Sparkler_Fountain	1748	0	"{},{},{}"			"31501,cos,[衣装] 噴出花火,4,,10,0,0:0,0:0,,0,2074075135,2,1024,,1,1748,0,{},{},{}"																	条件なし			
																																												
		100112	consum	スキアの手紙	2		10	10					2074075135	2			1				"{},{},{}"			"100112,consum,スキアの手紙,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"		100112	0	0	1	0	0	1	1	0	0	0	1	0	"100112,0,0,1,0,0,1,1,0,0,0,1,0"	//スキアの手紙	NPC売却・倉庫への移動のみ・消耗しない			
