20240319 update
番号	定義名	リソース名
45	JT_WARPNPC	1_ETC_01
46	JT_1_ETC_01	1_ETC_01
47	JT_1_M_01	1_M_01
48	JT_1_M_02	1_M_02
49	JT_1_M_03	1_M_03
50	JT_1_M_04	1_M_04
51	JT_1_M_BARD	1_M_BARD
52	JT_1_M_HOF	1_M_HOF
53	JT_1_M_INNKEEPER	1_M_INNKEEPER
54	JT_1_M_JOBGUIDER	1_M_JOBGUIDER
55	JT_1_M_JOBTESTER	1_M_JOBTESTER
56	JT_1_M_KNIGHTMASTER	1_M_KNIGHTMASTER
57	JT_1_M_LIBRARYMASTER	1_M_LIBRARYMASTER
58	JT_1_M_MERCHANT	1_M_MERCHANT
59	JT_1_M_ORIENT01	1_M_ORIENT01
60	JT_1_M_PASTOR	1_M_PASTOR
61	JT_1_M_PUBMASTER	1_M_PUBMASTER
62	JT_1_M_SIZ	1_M_SIZ
63	JT_1_M_SMITH	1_M_SMITH
64	JT_1_M_WIZARD	1_M_WIZARD
65	JT_1_M_YOUNGKNIGHT	1_M_YOUNGKNIGHT
66	JT_1_F_01	1_F_01
67	JT_1_F_02	1_F_02
68	JT_1_F_03	1_F_03
69	JT_1_F_04	1_F_04
70	JT_1_F_GYPSY	1_F_GYPSY
71	JT_1_F_LIBRARYGIRL	1_F_LIBRARYGIRL
72	JT_1_F_MARIA	1_F_MARIA
73	JT_1_F_MERCHANT_01	1_F_MERCHANT_01
74	JT_1_F_MERCHANT_02	1_F_MERCHANT_02
75	JT_1_F_ORIENT_01	1_F_ORIENT_01
76	JT_1_F_ORIENT_02	1_F_ORIENT_02
77	JT_1_F_ORIENT_03	1_F_ORIENT_03
78	JT_1_F_ORIENT_04	1_F_ORIENT_04
79	JT_1_F_PRIEST	1_F_PRIEST
80	JT_1_F_PUBGIRL	1_F_PUBGIRL
81	JT_4_DOG01	4_DOG01
82	JT_4_KID01	4_KID01
83	JT_4_M_01	4_M_01
84	JT_4_M_02	4_M_02
85	JT_4_M_03	4_M_03
86	JT_4_M_04	4_M_04
87	JT_4_M_BARBER	4_M_BARBER
88	JT_4_M_ORIENT01	4_M_ORIENT01
89	JT_4_M_ORIENT02	4_M_ORIENT02
90	JT_4_F_01	4_F_01
91	JT_4_F_02	4_F_02
92	JT_4_F_03	4_F_03
93	JT_4_F_04	4_F_04
94	JT_4_F_MAID	4_F_MAID
95	JT_4_F_SISTER	4_F_SISTER
96	JT_4W_KID	4W_KID
97	JT_4W_M_01	4W_M_01
98	JT_4W_M_02	4W_M_02
99	JT_4W_M_03	4W_M_03
100	JT_4W_SAILOR	4W_SAILOR
101	JT_4W_F_01	4W_F_01
102	JT_8_F	8_F
103	JT_8_F_GRANDMOTHER	8_F_GRANDMOTHER
104	JT_EFFECTLAUNCHER	1_ETC_01
105	JT_8W_SOLDIER	8W_SOLDIER
106	JT_1_M_MOC_LORD	1_M_MOC_LORD
107	JT_1_M_PAY_ELDER	1_M_PAY_ELDER
108	JT_1_M_PRON_KING	1_M_PRON_KING
109	JT_4_M_MANAGER	4_M_MANAGER
110	JT_4_M_MINISTER	4_M_MINISTER
111	JT_HIDDEN_NPC	1_ETC_01
112	JT_4_F_KAFRA6	4_F_KAFRA6
113	JT_4_F_KAFRA5	4_F_KAFRA5
114	JT_4_F_KAFRA4	4_F_KAFRA4
115	JT_4_F_KAFRA3	4_F_KAFRA3
116	JT_4_F_KAFRA2	4_F_KAFRA2
117	JT_4_F_KAFRA1	4_F_KAFRA1
118	JT_2_M_THIEFMASTER	2_M_THIEFMASTER
119	JT_2_M_SWORDMASTER	2_M_SWORDMASTER
120	JT_2_M_PHARMACIST	2_M_PHARMACIST
121	JT_2_M_MOLGENSTEIN	2_M_MOLGENSTEIN
122	JT_2_M_DYEINGER	2_M_DYEINGER
123	JT_2_F_MAGICMASTER	2_F_MAGICMASTER
124	JT_4_F_TELEPORTER	4_F_TELEPORTER
125	JT_4_M_TELEPORTER	4_M_TELEPORTER
139	JT_HIDDEN_WARP_NPC	PORING
400	JT_NEW_NPC_START	PORING
401	JT_4_M_MUT2	4_M_MUT2
402	JT_4_M_SCIENCE	4_M_SCIENCE
403	JT_4_F_VALKYRIE2	4_F_VALKYRIE2
404	JT_4_M_UNCLEKNIGHT	4_M_UNCLEKNIGHT
405	JT_4_M_YOUNGKNIGHT	4_M_YOUNGKNIGHT
406	JT_2_MONEMUS	2_MONEMUS
407	JT_4_M_ATEIL	4_M_ATEIL
408	JT_4_F_ANNIVERSARY	4_F_ANNIVERSARY
409	JT_4_M_GREATPO	4_M_GREATPO
410	JT_4_M_NOVELIST	4_M_NOVELIST
411	JT_4_M_CHAMPSOUL	4_M_CHAMPSOUL
412	JT_4_M_OLDFRIAR	4_M_OLDFRIAR
