masterID	ID	鑑定名	id	未鑑定名	id	鑑定ソース	id	未鑑定ソース	addday
501	501	赤ポーション	501	赤ポーション	501	察娃匂芝	501	察娃匂芝	
502	502	紅ポーション	502	紅ポーション	502	爽畠匂芝	502	爽畠匂芝	
503	503	黄ポーション	503	黄ポーション	503	葛空匂芝	503	葛空匂芝	
504	504	白ポーション	504	白ポーション	504	馬鍾匂芝	504	馬鍾匂芝	
505	505	青ポーション	505	青ポーション	505	督空匂芝	505	督空匂芝	
506	506	緑ポーション	506	緑ポーション	506	段系匂芝	506	段系匂芝	
507	507	赤ハーブ	507	赤ハーブ	507	察娃買崎	507	察娃買崎	
508	508	黄ハーブ	508	黄ハーブ	508	葛空買崎	508	葛空買崎	
509	509	白ハーブ	509	白ハーブ	509	馬鍾買崎	509	馬鍾買崎	
510	510	青ハーブ	510	青ハーブ	510	督空買崎	510	督空買崎	
511	511	緑ハーブ	511	緑ハーブ	511	段系買崎	511	段系買崎	
512	512	リンゴ	512	リンゴ	512	紫引	512	紫引	
513	513	バナナ	513	バナナ	513	郊蟹蟹	513	郊蟹蟹	
514	514	ブドウ	514	ブドウ	514	匂亀	514	匂亀	
515	515	ニンジン	515	ニンジン	515	雁悦	515	雁悦	
516	516	いも	516	いも	516	壱姥原	516	壱姥原	
517	517	にく	517	にく	517	壱奄	517	壱奄	
518	518	ハチ蜜	518	ハチ蜜	518	蝦	518	蝦	
519	519	ミルク	519	ミルク	519	酔政	519	酔政	
520	520	ヒナレの葉	520	ヒナレの葉	520	備蟹傾税碩紫瑛	520	備蟹傾税碩紫瑛	
521	521	アロエの葉	521	アロエの葉	521	硝稽拭碩紫瑛	521	硝稽拭碩紫瑛	
522	522	マステラの実	522	マステラの実	522	原什砺虞税伸古	522	原什砺虞税伸古	
523	523	聖水	523	聖水	523	失呪	523	失呪	
524	524		524		524		524		
525	525	万能薬	525	万能薬	525	幻管鉦	525	幻管鉦	
526	526	ローヤルゼリー	526	ローヤルゼリー	526	稽鐘薦軒	526	稽鐘薦軒	
527	527		527		527		527		
528	528	化け物のエサ	528	化け物のエサ	528	雨弘税股戚	528	雨弘税股戚	
529	529	キャンディ	529	キャンディ	529	紫伝	529	紫伝	
530	530	スティックキャンディ	530	スティックキャンディ	530	厳企紫伝	530	厳企紫伝	
531	531	リンゴジュース	531	リンゴジュース	531	紫引相什	531	紫引相什	
532	532	バナナジュース	532	バナナジュース	532	郊蟹蟹相什	532	郊蟹蟹相什	
533	533	ブドウジュース	533	ブドウジュース	533	匂亀相什	533	匂亀相什	
534	534	ニンジンジュース	534	ニンジンジュース	534	雁悦相什	534	雁悦相什	
535	535	カボチャ	535	カボチャ	535	硲酵	535	硲酵	
536	536	アイスクリーム	536	アイスクリーム	536	焼戚什滴顕	536	焼戚什滴顕	
537	537	ペットフード	537	ペットフード	537	雨弘税股戚	537	雨弘税股戚	
538	538	よく焼いたクッキー	538	よく焼いたクッキー	538	設姥錘庭徹	538	設姥錘庭徹	
539	539	ひとくちケーキ	539	ひとくちケーキ	539	繕唖追戚滴	539	繕唖追戚滴	
540	540	ファルコンのえさ	540	ファルコンのえさ	540	雨弘税股戚	540	雨弘税股戚	
541	541	ペコペコのえさ	541	ペコペコのえさ	541	雨弘税股戚	541	雨弘税股戚	
542	542	ひなあられ	542	ひなあられ	542	誤箭引切	542	誤箭引切	
543	543	菱餅	543	菱餅	543	誤箭巷走鯵怯	543	誤箭巷走鯵怯	
544	544	おさしみ	544	おさしみ	544	噺	544	噺	
545	545	レッドスリムポーション	545	レッドスリムポーション	545	傾球十顕匂芝	545	傾球十顕匂芝	
546	546	イエロースリムポーション	546	イエロースリムポーション	546	浸稽酔十顕匂芝	546	浸稽酔十顕匂芝	
547	547	ホワイトスリムポーション	547	ホワイトスリムポーション	547	鉢戚闘十顕匂芝	547	鉢戚闘十顕匂芝	
548	548	チーズ	548	チーズ	548	帖綜	548	帖綜	
549	549	おいしい焼きいも	549	おいしい焼きいも	549	鴻壱姥原	549	鴻壱姥原	
550	550	お米のお菓子	550	お米のお菓子	550	蚕蕩奄	550	蚕蕩奄	
551	551	お寿司	551	お寿司	551	段剛	551	段剛	
552	552	KETUPAT	552	KETUPAT	552	KETUPAT	552	KETUPAT	
553	553	小包子	553	小包子	553	幻砧	553	幻砧	
554	554	おもち	554	おもち	554	乞卓	554	乞卓	
555	555	おはぎ	555	おはぎ	555	怯	555	怯	
556	556	ガレットック	556	ガレットック	556	亜掘怯	556	亜掘怯	
557	557	トック	557	トック	557	巡鍵亜掘怯	557	巡鍵亜掘怯	
558	558	チョコレート	558	チョコレート	558	段紬型	558	段紬型	
559	559	手作りチョコ	559	手作りチョコ	559	呪薦段紬型	559	呪薦段紬型	
560	560	手作りホワイトチョコ	560	手作りホワイトチョコ	560	呪薦段紬型_	560	呪薦段紬型_	
561	561	ホワイトチョコ	561	ホワイトチョコ	561	鉢戚闘段紬型	561	鉢戚闘段紬型	
562	562	ピザ	562	ピザ	562	杷切	562	杷切	
563	563	デラックスピザ	563	デラックスピザ	563	杷切	563	杷切	
564	564	おにぎり	564	おにぎり	564	爽股剛	564	爽股剛	
565	565	ビタ500	565	ビタ500	565	搾展500佐	565	搾展500佐	
566	566	トムヤンクン	566	トムヤンクン	566	慶丞過	566	慶丞過	
567	567	エビ	567	エビ	567	歯酔	567	歯酔	
568	568	レモン	568	レモン	568	傾佼	568	傾佼	
569	569	初心者用ポーション	569	初心者用ポーション	569	察娃匂芝	569	察娃匂芝	
570	570	幸運のキャンディ	570	幸運のキャンディ	570	紫伝	570	紫伝	
