MSI_DO_YOU_AGREE,"同意しますか？"
MSI_SERVER_CONNECTION_FAILED,"サーバーとの接続に失敗しました。"
MSI_UNABLE_TO_CONNECT_SERVER,"サーバーとの接続がキャンセルされました。"
MSI_BANNED,"サーバーとの接続がキャンセルされました。"
MSI_SERVER_OFF,"サーバー接続終了"
MSI_DOUBLE_LOGIN_PROHIBITED,"同じゲームアカウントで他の使用者がログインしました。"
MSI_INCORRECT_USERID,"接続エラー。時間をおいて改善されない場合は、以下よりご報告ください。\nWEBヘルプデスク＞報告する＞不具合を報告する"
MSI_INCORRECT_PASSWORD,"パスワードが違います。"
MSI_ID_EXPIRED,"このIDは使用期間が終了しています。"
MSI_ACCESS_DENIED,"サーバーへの接続が失敗しました。"
MSI_CHARACTER_NAME_ALREADY_EXISTS,"同じ名前のキャラクターがいます。"
MSI_CHARACTER_CREATION_DENIED,"キャラクターの作成が拒否されました。"
MSI_CANNOT_DELETE_CHARACTER,"キャラクターの削除が拒否されました。"
MSI_ENTER_ROOM_TITLE,"チャットルームの名前を入力して下さい。"
MSI_BAD_SENTANGE,"使用禁止単語が検出されました。"
MSI_ENTER_PASSWORD,"パスワードを入力して下さい。"
MSI_Enter_Password_more_than_4_char,"パスワードを4文字以上入力して下さい。"
MSI_DO_YOU_REALLY_WANT_TO_QUIT,"終了しますか？"
MSI_NAME_MUST_EXCEED_4_CHAR,"4文字以上入力して下さい。"
MSI_DELETE_CHARACTER,"キャラクターを削除しますか？          削除するには、OKを押して              登録メールアドレスを入力してください。"
MSI_BAD_NAME,"使用禁止単語が検出されました。"
MSI_ENTER_NAME_MORE_THAN_4_CHAR,"名前を入力して下さい。(全角2文字、半角4文字以上)"
MSI_LIST_COMMAND,"コマンドリスト一覧表示 : /h"
MSI_EFFECT_ON,"エフェクト On"
MSI_EFFECT_OFF,"エフェクト Off"
MSI_VOLUME_OF_SOUND,"サウンドボリューム"
MSI_VOLUME_OF_BGM,"BGM ボリューム"
MSI_SOUND_ON,"効果音 On"
MSI_SOUND_OFF,"効果音 Off"
MSI_FRAME_SKIP_ON,"フレーム スキップ On"
MSI_FRAME_SKIP_OFF,"フレーム スキップ Off"
MSI_BGM_ON,"BGM On"
MSI_BGM_OFF,"BGM Off"
MSI_EXPLAIN_HELP,"/h : コマンド リスト"
MSI_EXPLAIN_WHO,"/w or /who : 現在の接続者数を見る"
MSI_EXPLAIN_MUSIC,"/bgm : BGM On/Off"
MSI_EXPLAIN_SOUND,"/sound : 効果音 On/Off"
MSI_EXPLAIN_EFFECT,"/effect : エフェクト On/Off"
MSI_EXPLAIN_POS,"/where : 現在の位置表示"
MSI_EXPLAIN_FRAMESKIP,"/skip : フレーム スキップ On/Off"
MSI_EXPLAIN_SOUNDVOLUME,"/v (0~127): 効果音 ボリュームコントロール"
MSI_EXPLAIN_BGMVOLUME,"/bv (0~127): BGM ボリュームコントロール"
MSI_EXPLAIN_SAYISOLATION,"/ex [キャラクター名] : 対象のキャラクターからの耳打ち拒否"
MSI_EXPLAIN_LIST_SAYISOLATION_CHAR,"/ex : 耳打ち拒否キャラクターリスト"
MSI_EXPLAIN_SAY_PERMIT,"/in [キャラクター名] : 対象のキャラクターからの耳打ち許可"
MSI_EXPLAIN_SAY_PERMITALL,"/inall : 全キャラクターからの耳打ち許可"
MSI_EXPLAIN_SAY_ISOLATEALL,"/exall : 全キャラクターからの耳打ち拒否"
MSI_EXPLAIN_TIP1,"他のキャラクターの上でマウス右クリックをし、メニューから「1:1ウィンドウを開く」を選択すると、そのキャラクターの名前が耳打ちリストにセーブされます。"
